movie_ID,title,genre,running_time,netizen_ratings,num_reviews,num_article,country,rating,companyNm,released_year,released_month,num_viewers
20080661,위 오운 더 나잇,범죄,116,7.6,610,40,미국,청소년관람불가,유니버설픽쳐스인터내셔널 코리아(유),2008,5,71212
20080706,디 아이,공포(호러),96,5.97,313,0,미국,15세이상관람가,(주)쇼박스,2008,6,85559
20080709,섹스 앤 더 시티,멜로/로맨스,143,7.69,1222,170,미국,청소년관람불가,에스케이텔레콤(주),2008,6,1074321
20080736,강철중: 공공의 적 1-1,드라마,127,8.53,6158,1068,한국,15세이상관람가,(주)시네마서비스,2008,6,4300670
20080741,고고 70,드라마,118,7.99,1594,1025,한국,15세이상관람가,(주)쇼박스,2008,10,581468
20080743,1724 기방난동사건,사극,103,5.42,1058,615,한국,15세이상관람가,(주)싸이더스,2008,12,286657
20080750,달콤한 거짓말,멜로/로맨스,113,7.54,1529,793,한국,12세이상관람가,씨제이엔터테인먼트,2008,12,470256
20080764,님은 먼 곳에,드라마,126,7.82,4617,2051,한국,15세이상관람가,(주)쇼박스,2008,7,1706576
20080829,해프닝,SF,90,5.91,2443,114,미국,청소년관람불가,이십세기폭스코리아(주),2008,6,348772
20080830,인크레더블 헐크,액션,113,8.29,2175,18,미국,15세이상관람가,유니버설픽쳐스인터내셔널 코리아(유),2008,6,992064
20080833,다찌마와리,액션,99,6.82,3315,1188,한국,12세이상관람가,(주)쇼박스,2008,8,628508
20080834,당신이 잠든 사이에,코미디,98,6.14,349,250,한국,15세이상관람가,(주)엠플러스픽쳐스,2008,8,67626
20080836,겟 스마트,범죄,110,7.72,1166,22,미국,12세이상관람가,워너브러더스 코리아(주),2008,6,176852
20080870,마린보이,액션,118,6.65,2229,653,한국,15세이상관람가,씨제이엔터테인먼트,2009,2,837059
20080871,잘못된 만남,드라마,104,6.02,322,63,한국,15세이상관람가,토이 엔터테인먼트,2008,7,47557
20080873,핸콕,액션,92,7.33,4289,271,미국,12세이상관람가,한국소니픽쳐스릴리징브에나비스타영화㈜,2008,7,2723518
20080878,알이씨(Rec),공포(호러),78,7.14,2693,0,스페인,청소년관람불가,유니버설픽쳐스인터내셔널 코리아(유),2008,7,77533
20080887,비몽,드라마,95,6.93,931,1481,한국,청소년관람불가,(주)스폰지이엔티,2008,10,87963
